festival,location,date,artist
SUMMER SOUND SUISSE,Sursee,2013-Aout-03,PATENT OCHSNER
SUMMER SOUND SUISSE,Sursee,2013-Aout-04,KAYA YANAR
SUMMER SOUND SUISSE,Sursee,2012-Juil.-05,PETER MAFFAY
SUMMER SOUND SUISSE,Sursee,2012-Juil.-06,MILOW
SUMMER SOUND SUISSE,Sursee,2012-Juil.-07,BRYAN ADAMS
SUMMER SOUND SUISSE,Sursee,2011-Juin-16,THIRTY SECONDS TO MARS
SUMMER SOUND SUISSE,Sursee,2011-Juin-22,JAMES BLUNT
SUMMER SOUND SUISSE,Sursee,2011-Juin-23,ANASTACIA
SUMMER SOUND SUISSE,Sursee,2011-Juin-24,BOB DYLAN
SUMMER SOUND SUISSE,Sursee,2011-Juin-25,ZZ TOP
