,location,event,date,artists,genre
0,Basel,Mittagskonzert,2014-07-02,"['Jonas Hillenmeyer ', ' Michael Ferner ', ' Jon Roskilly ', ' Ulrike Gäbel ']",Classic
1,Basel,Masterrezital,2014-07-02,['Corinne Kappeler '],Classic
2,Basel,The-Recognition-of-Necessity-or-Living-Fish-Have-no-Fixed-Form,2014-07-02,"['Anna Röser ', ' Antonia Ravens ', ' Armelle Scholl ', ' Benjamin Brodbeck ', ' Corina Schranz ', ' Eva Kuster ', ' Frank Heierli ', ' Giancarlo Nicolai ', ' Gulrim Choi ', ' Luke Wilkins ', ' Malin Schell ', ' Maria Fernanda Castro Vergara ', ' Mina Fred ', ' Orsolya Sepsi ']",Classic
3,Baden,I-due-ragazzi-della-via-corona,2014-07-02,"[' Philippe Kuhn ', ' Gregor Loepfe ']",
4,Basel,Altstadt-Serenaden,2014-07-02,"[' Astrig Siranossian ', ' Andriy Dragan ']",Classic
5,Luzern,Solistenkonzert,2014-07-02,"[' Sebastian Bohren ', ' Witold Moniewski ', ' Shintaro Kawahara ', ' Stephanie Szanto ', ' Katharina Pitzen ']",Classic
6,Basel,Schlusskonzert,2014-07-02,"[' Momoko Kawamoto ', ' Stojan Krkuleski ', ' Joel Bardolet ', ' Oliwia Grabowska ']",Classic
7,Zürich,Festspiele-Zürich,2014-07-02,"[' Noldi Alder ', ' Markus Lauterburg ']",
8,Zug,Keynote-Jazz,2014-07-02,"[' Alessio Cazzetta ', ' Matthias Abächerli ', ' Amadeus Fries ']",
9,Bern,Konzert,2014-07-02,"[' Tobias Gerber ', ' Rafael Rütti ', ' Sebastian Hofmann ']",Classic
10,Zürich,Hey-Night,2014-07-02,"[' Eveline Battaglia ', ' Dany Mühlebach ', ' Nick Käufeler ', ' Christian Feuerlein ', ' Katrin Popp ', ' André Csillaghy ']",
11,-Alte-Kirche,Boswil,2014-07-02,"[' Hyung-Ki Joo ', ' Yu Horiuchi ', ' Felix Froschhammer ', ' Johanna Von Der Deken ']",Classic
12,Basel,Arne-Huber-Quartet,2014-07-02,"[' Domenic Landolf ', ' Rainer Böhm ', ' Arne Huber ', ' Jochen Rückert ']",
