,Unnamed: 0,location,event,date,artists,genre
0,0,Pontresina,Neujahrskonzert,2013-01-03,[' Vlad Weverbergh '],Classic
1,1,Zürich,Brillante-Neujahrs-Konzertgala,2013-01-03,[' Roland Raphael '],Classic
2,2,Zürich,Jazz-Happening,2013-01-03,"[' Ivan Kubias ', ' Ivan Hrdina ', ' Miro Steiner ']",
3,3,Grindelwald,Konzert,2013-01-03,"['Diana Petrova ', ' Elena Tomilova ']",Classic
4,4,Basel,Othella-Dallas-feat.-Thomas-Moeckel,2013-01-03,"[' Othella Dallas ', ' Thomas Moeckel ', ' Tom Mäder ', ' Hannes Bürgi ', ' Michael Chylewski ', ' Lukas Gasser ']",
5,5,ISC-Club,Bern,2013-01-03,"[' Basil Anliker ', ' Etienne Marti ', ' Beni Külling ', ' Raphael Jakob ', ' Tevfik Kuyas ', ' Fabian Bürgi ']",
6,6,Pontresina,Smalltown-Casanovas,2013-01-03,['Smalltown Casanovas '],Pop
7,0,Basel,Orgelspiel-zum-Feierabend,2013-01-04,['Marie-Odile Vigreux '],Classic
8,1,Zürich,Konzert,2013-01-04,"[' Carola Glaser ', ' Christina Daletska ', ' Rolf Romei ', ' Marian Krejcik ']",Classic
9,2,Zürich,77,2013-01-04,"[' support: On-Off ', ' Sin-City ']",
10,3,Basel,Alessandro-dell'indie,2013-01-04,"['Robert Crowe ', ' Aude Priya ', ' Joachim Enders ']",Classic
11,4,null,Neujahrskonzert,2013-01-04,[' Maria Goldschmidt '],Classic
12,5,Winterthur,Swing-de-Paris,2013-01-04,"[' Sophie Lüssi ', ' Felix Brühwiler ', ' Claudio Strebel ', ' David Beglinger ']",
13,6,Basel,B-Tonic,2013-01-04,"[' Patricia Kunz ', ' Markus Hürsch ', ' Tomi Schwarzenbach ', ' Mauro Bodio ', ' Dieter Häner ']",
14,7,Zürich,The-James-Brown-Tribute-Show-2013,2013-01-04,"['Rich Fonje ', ' Dave Feusi ', ' Fabienne Hoerni ', ' René Mosele ', ' Matthew Savnik ', ' Sam Siegenthaler ']",
15,8,Zürich,Céol,2013-01-04,"[' Brendan Wade ', ' Christian Fotsch ', ' Matthias Lincke ']",
16,9,Kulturfabrik-Kofmehl,Solothurn,2013-01-04,['Delinquent Habits '],
17,10,Frick,Justin-Vali-Trio,2013-01-04,['Justin Vali Trio '],
18,11,Mokka,Thun,2013-01-04,['Maria Doyle Kennedy '],
19,12,Bern,Smalltown-Casanovas,2013-01-04,['Smalltown Casanovas '],
20,13,Kulturfabrik-Kofmehl,Solothurn,2013-01-04,['The Jancee Pornick Casino '],
21,0,Winterthur,Neujahrskonzert-2013,2013-01-05,[' André Desponds '],Classic
22,1,Winterthur,Go-West,2013-01-05,[' André Desponds '],Classic
23,2,null,Konzert-zum-neuen-Jahr,2013-01-05,"['Karl Raas ', ' Beatrice Rogger ']",Classic
24,3,Zürich,Neujahrskonzert,2013-01-05,"[' Fides Auf der Maur ', ' Patricia Draeger ', ' Sergej Simbirev ', ' Alex Cebanica ']",Classic
25,4,Zürich,Christus-una-mistica-poesia,2013-01-05,['Domenico Tagliente '],Classic
26,5,Basel,Beethoven-9.-Symphonie,2013-01-05,"[' C.Glaser ', ' C.Daletska ', ' R.Romei ', ' M.Krejcik ']",Classic
27,6,Buchs,Grossmütterchen-Hatz-Salon-Orkestar,2013-01-05,"[' Franziska Hatz ', ' Richie Winkler ', ' Simon Schellnegger ', ' Thomas Castaneda ', ' Julian Pieber ']",
28,7,null,Weihnachtsoratorium,2013-01-05,"[' Monika Mauch ', ' Martina Gmeinder ', ' Hermann Oswald ', ' Manuel Walser ']",Classic
29,8,Basel,Miriam-Klein-Trio,2013-01-05,"[' Miriam Klein ', ' Christian Gutfleisch ', ' Thomas Lähns ']",
30,9,Zürich,Cookie-The-Herbalist,2013-01-05,"['Cookie The Herbalist ', ' Cookie The Herbalist ', ' Baba The Fayahstudend ', ' Redwan Fayahwan ', ' Leon Duncan ', ' Marcel Ricklin ']",
31,10,Luzern,Doran-Kaenzig-Hemingway,2013-01-05,"['Doran-Kaenzig-Hemingway ', ' Christy Doran ', ' Heiri Kaenzig ', ' Gerry Hemingway ']",
32,11,Klosters,Mozart-&-Beethoven,2013-01-05,"['Ana de la Vega ', ' Daniel Röhn ', ' Gabriel Adorjan ', ' Kim Roloff ', ' Christopher Jepson ']",Classic
33,12,Basel,Reto-Burrell,2013-01-05,"[' support: Klara Lundén ', ' Reto Burrell ', ' Thomas Kull ', ' Barbara Wildberger ']",
34,13,Binningen,Caesars-Blues-Connection,2013-01-05,"[' Caesar Perrig ', ' Heiner Grieder ', ' Jooce Garret ', ' Willy Surbeck ', ' Vitti Müller ']",
